
/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/license/view.js
  1:246  warning  Unnecessary semicolon  no-extra-semi
  256:43   warning  'B' is already defined                                                     no-redeclare
  261:24   warning  'h' is already defined                                                     no-redeclare
  261:498  warning  'c' is already defined                                                     no-redeclare
  262:180  warning  'A' is already defined                                                     no-redeclare
  262:250  warning  'p' is already defined                                                     no-redeclare
  262:288  warning  'H' is already defined                                                     no-redeclare
  265:282  warning  'markerColor' is not defined                                               no-undef
  265:355  warning  'markerColor' is not defined                                               no-undef
  265:379  warning  'markerColor' is not defined                                               no-undef
  268:77   warning  'f' is already defined                                                     no-redeclare
  269:46   warning  'c' is already defined                                                     no-redeclare
  269:261  warning  'B' is already defined                                                     no-redeclare
  269:331  warning  'p' is already defined                                                     no-redeclare
  269:369  warning  'H' is already defined                                                     no-redeclare
  272:411  warning  'markerColor' is not defined                                               no-undef
  272:484  warning  'markerColor' is not defined                                               no-undef
  272:508  warning  'markerColor' is not defined                                               no-undef
  275:20   warning  'c' is already defined                                                     no-redeclare
  275:229  warning  'b' is already defined                                                     no-redeclare
  275:297  warning  'l' is already defined                                                     no-redeclare
  276:135  warning  'e' is already defined                                                     no-redeclare
  276:214  warning  'e' is already defined                                                     no-redeclare
  279:117  warning  'c' is already defined                                                     no-redeclare
  281:452  warning  'c' is already defined                                                     no-redeclare
  281:484  warning  'f' is already defined                                                     no-redeclare
  283:417  warning  'f' is already defined                                                     no-redeclare
  284:401  warning  'c' is already defined                                                     no-redeclare
  288:73   warning  'f' is already defined                                                     no-redeclare
  290:104  warning  'f' is already defined                                                     no-redeclare
  291:110  warning  'b' is already defined                                                     no-redeclare
  291:184  warning  'c' is already defined                                                     no-redeclare
  293:327  warning  'f' is already defined                                                     no-redeclare
  300:348  warning  'f' is already defined                                                     no-redeclare
  300:456  warning  'f' is already defined                                                     no-redeclare
  301:214  warning  'z' is already defined                                                     no-redeclare
  309:483  warning  'f' is already defined                                                     no-redeclare
  310:70   warning  'f' is already defined                                                     no-redeclare
  310:315  warning  't' is already defined                                                     no-redeclare
  312:281  warning  'g' is already defined                                                     no-redeclare
  316:142  warning  'p' is already defined                                                     no-redeclare
  325:499  warning  'c' is already defined                                                     no-redeclare
  327:286  warning  'p' is already defined                                                     no-redeclare
  332:453  warning  'b' is already defined                                                     no-redeclare
  333:340  warning  'a' is already defined                                                     no-redeclare
  333:364  warning  'h' is already defined                                                     no-redeclare
  333:413  warning  'z' is already defined                                                     no-redeclare
  334:81   warning  'A' is already defined                                                     no-redeclare
  338:104  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  351:195  warning  'g' is already defined                                                     no-redeclare
  352:320  warning  'f' is already defined                                                     no-redeclare
  352:342  warning  'c' is already defined                                                     no-redeclare
  352:355  warning  'a' is already defined                                                     no-redeclare
  355:136  warning  'g' is already defined                                                     no-redeclare
  361:371  warning  'r' is already defined                                                     no-redeclare
  361:432  warning  'e' is already defined                                                     no-redeclare
  362:191  warning  'e' is already defined                                                     no-redeclare
  362:302  warning  'r' is already defined                                                     no-redeclare
  362:501  warning  'q' is already defined                                                     no-redeclare
  363:147  warning  's' is already defined                                                     no-redeclare
  363:170  warning  'u' is already defined                                                     no-redeclare
  363:336  warning  'w' is already defined                                                     no-redeclare
  364:33   warning  'r' is already defined                                                     no-redeclare
  364:80   warning  'e' is already defined                                                     no-redeclare
  378:436  warning  'c' is already defined                                                     no-redeclare
  382:198  warning  'q' is already defined                                                     no-redeclare
  388:445  warning  'c' is already defined                                                     no-redeclare
  388:495  warning  'b' is already defined                                                     no-redeclare
  391:227  warning  'k' is already defined                                                     no-redeclare
  391:272  warning  'b' is already defined                                                     no-redeclare
  393:276  warning  Duplicate key 'borderThickness'                                            no-dupe-keys
  400:57   warning  'c' is already defined                                                     no-redeclare
  425:497  warning  'g' is already defined                                                     no-redeclare
  430:167  warning  'f' is already defined                                                     no-redeclare
  432:215  warning  'f' is already defined                                                     no-redeclare
  438:80   warning  'u' is already defined                                                     no-redeclare
  438:85   warning  'w' is already defined                                                     no-redeclare
  438:90   warning  'v' is already defined                                                     no-redeclare
  438:95   warning  't' is already defined                                                     no-redeclare
  475:475  warning  'd' is already defined                                                     no-redeclare
  475:480  warning  'c' is already defined                                                     no-redeclare
  477:378  warning  'd' is already defined                                                     no-redeclare
  477:385  warning  'h' is already defined                                                     no-redeclare
  477:408  warning  'k' is already defined                                                     no-redeclare
  477:459  warning  'l' is already defined                                                     no-redeclare
  479:129  warning  'l' is already defined                                                     no-redeclare
  490:390  warning  'h' is already defined                                                     no-redeclare
  490:395  warning  'c' is already defined                                                     no-redeclare
  509:499  warning  'd' is already defined                                                     no-redeclare
  510:1    warning  'd' is already defined                                                     no-redeclare
  514:286  warning  'a' is already defined                                                     no-redeclare
  514:471  warning  'a' is already defined                                                     no-redeclare
  515:11   warning  'c' is already defined                                                     no-redeclare
  532:289  warning  'a' is already defined                                                     no-redeclare
  536:179  warning  'linearRange' is not defined                                               no-undef
  537:98   warning  'linearRange' is not defined                                               no-undef
  546:242  warning  'd' is defined but never used                                              no-unused-vars
  546:304  warning  'c' is already defined                                                     no-redeclare
  547:173  warning  'a' is already defined                                                     no-redeclare
  557:42   warning  'h' is already defined                                                     no-redeclare
  557:98   warning  'c' is already defined                                                     no-redeclare
  559:447  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  566:358  warning  Empty block statement                                                      no-empty
  570:47   warning  'c' is already defined                                                     no-redeclare
  575:226  warning  'k' is already defined                                                     no-redeclare
  587:481  warning  'i' is not defined                                                         no-undef
  587:487  warning  'i' is not defined                                                         no-undef
  587:509  warning  'i' is not defined                                                         no-undef
  587:532  warning  'i' is not defined                                                         no-undef
  588:18   warning  'i' is not defined                                                         no-undef
  588:358  warning  'k' is already defined                                                     no-redeclare
  588:385  warning  'h' is already defined                                                     no-redeclare
  588:482  warning  'l' is already defined                                                     no-redeclare
  590:107  warning  Empty block statement                                                      no-empty
  590:209  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  590:241  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  611:135  warning  'c' is defined but never used                                              no-unused-vars
  614:309  warning  'b' is already defined                                                     no-redeclare
  617:433  warning  'c' is already defined                                                     no-redeclare
  618:363  warning  'h' is already defined                                                     no-redeclare
  618:374  warning  'h' is already defined                                                     no-redeclare
  619:210  warning  'n' is already defined                                                     no-redeclare
  629:41   warning  'd' is already defined                                                     no-redeclare
  632:340  warning  'b' is defined but never used                                              no-unused-vars
  639:278  warning  Empty block statement                                                      no-empty
  639:437  warning  'l' is already defined                                                     no-redeclare
  645:90   warning  'G_vmlCanvasManager' is not defined                                        no-undef
  645:111  warning  Read-only global 'CanvasRenderingContext2D' should not be modified         no-global-assign
  645:138  warning  Read-only global 'CanvasGradient' should not be modified                   no-global-assign
  645:155  warning  Read-only global 'CanvasPattern' should not be modified                    no-global-assign
  645:171  warning  Read-only global 'DOMException' should not be modified                     no-global-assign

/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/simulation/js/jquery-1.7.1.min.js
  2:820    warning  Empty block statement                                            no-empty
  2:877    warning  Empty block statement                                            no-empty
  2:4720   warning  'b' is defined but never used                                    no-unused-vars
  2:5126   warning  'd' is defined but never used                                    no-unused-vars
  2:5302   warning  'd' is defined but never used                                    no-unused-vars
  2:6027   warning  Empty block statement                                            no-empty
  2:6428   warning  Unnecessary escape character: \-                                 no-useless-escape
  2:6523   warning  Unnecessary escape character: \/                                 no-useless-escape
  2:6608   warning  Unnecessary escape character: \-                                 no-useless-escape
  2:6658   warning  Unnecessary escape character: \/                                 no-useless-escape
  2:6697   warning  Unnecessary escape character: \/                                 no-useless-escape
  2:10196  warning  Empty block statement                                            no-empty
  2:11255  warning  'ActiveXObject' is not defined                                   no-undef
  2:14574  warning  'i' is defined but never used                                    no-unused-vars
  2:16984  warning  'h' is assigned a value but never used                           no-unused-vars
  2:17279  warning  'm' is defined but never used                                    no-unused-vars
  2:17312  warning  'r' is assigned a value but never used                           no-unused-vars
  2:19399  warning  'g' is defined but never used                                    no-unused-vars
  2:21309  warning  Redundant double negation                                        no-extra-boolean-cast
  2:21836  warning  Redundant double negation                                        no-extra-boolean-cast
  2:24565  warning  'c' is assigned a value but never used                           no-unused-vars
  2:24675  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  2:25416  warning  Empty block statement                                            no-empty
  2:26513  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  2:26963  warning  Redundant double negation                                        no-extra-boolean-cast
  2:31862  warning  Unnecessary escape character: \.                                 no-useless-escape
  2:31999  warning  Unnecessary escape character: \-                                 no-useless-escape
  2:32015  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:56     warning  'q' is defined but never used                                    no-unused-vars
  3:3638   warning  't' is defined but never used                                    no-unused-vars
  3:7367   warning  'g' is assigned a value but never used                           no-unused-vars
  3:11980  warning  Unnecessary escape character: \[                                 no-useless-escape
  3:12006  warning  Unnecessary escape character: \[                                 no-useless-escape
  3:12031  warning  Unnecessary escape character: \[                                 no-useless-escape
  3:13787  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:15016  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:15136  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15177  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15227  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15277  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15341  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15388  warning  Unnecessary escape character: \*                                 no-useless-escape
  3:15390  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15460  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15473  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15491  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15572  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15609  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:15639  warning  Unnecessary escape character: \)                                 no-useless-escape
  3:15648  warning  Unnecessary escape character: \(                                 no-useless-escape
  3:15650  warning  Unnecessary escape character: \)                                 no-useless-escape
  3:15970  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:17350  warning  'b' is defined but never used                                    no-unused-vars
  3:17505  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:20157  warning  'h' is defined but never used                                    no-unused-vars
  3:20213  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:20288  warning  Expected a 'break' statement before 'case'                       no-fallthrough
  3:20305  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:21442  warning  Unnecessary escape character: \[                                 no-useless-escape
  3:21454  warning  Unnecessary escape character: \(                                 no-useless-escape
  3:23990  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:24003  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:24412  warning  Empty block statement                                            no-empty
  3:24694  warning  Empty block statement                                            no-empty
  3:25075  warning  Unnecessary escape character: \=                                 no-useless-escape
  3:25256  warning  Empty block statement                                            no-empty
  3:26114  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  3:26509  warning  Unnecessary escape character: \[                                 no-useless-escape
  3:26511  warning  Unnecessary escape character: \.                                 no-useless-escape
  3:29597  warning  'd' is defined but never used                                    no-unused-vars
  3:30269  warning  Unnecessary escape character: \-                                 no-useless-escape
  3:30271  warning  Unnecessary escape character: \-                                 no-useless-escape
  4:5068   warning  Unnecessary escape character: \-                                 no-useless-escape
  4:5076   warning  Unnecessary escape character: \-                                 no-useless-escape
  4:6100   warning  Empty block statement                                            no-empty
  4:8493   warning  Unnecessary escape character: \-                                 no-useless-escape
  4:8505   warning  Unnecessary escape character: \-                                 no-useless-escape
  4:8697   warning  Unnecessary escape character: \+                                 no-useless-escape
  4:8699   warning  Unnecessary escape character: \.                                 no-useless-escape
  4:8701   warning  Unnecessary escape character: \-                                 no-useless-escape
  4:8717   warning  Unnecessary escape character: \/                                 no-useless-escape
  4:9799   warning  'c' is defined but never used                                    no-unused-vars
  4:11116  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  4:11178  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  4:12065  warning  Expected a conditional expression and instead saw an assignment  no-cond-assign
  4:14424  warning  Unnecessary escape character: \=                                 no-useless-escape
  4:16789  warning  Empty block statement                                            no-empty
  4:17420  warning  Unnecessary escape character: \-                                 no-useless-escape
  4:17432  warning  Unnecessary escape character: \-                                 no-useless-escape
  4:24520  warning  Empty block statement                                            no-empty
  4:25630  warning  'e' is assigned a value but never used                           no-unused-vars
  4:28559  warning  'define' is not defined                                          no-undef
  4:28571  warning  'define' is not defined                                          no-undef
  4:28590  warning  'define' is not defined                                          no-undef

/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/simulation/js/math.min.js
  27:66     warning  'module' is not defined                                                    no-undef
  27:112    warning  'define' is not defined                                                    no-undef
  27:123    warning  'define' is not defined                                                    no-undef
  27:161    warning  'exports' is not defined                                                   no-undef
  27:1907   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:1991   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:2163   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:2900   warning  Expected to return a value in method 'get'                                 getter-return
  27:2930   warning  Empty block statement                                                      no-empty
  27:5276   warning  'e' is defined but never used                                              no-unused-vars
  27:6635   warning  'r' is defined but never used                                              no-unused-vars
  27:8868   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:9143   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:12187  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:16556  warning  'f' is already defined                                                     no-redeclare
  27:17113  warning  'p' is already defined                                                     no-redeclare
  27:18861  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:19181  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:19204  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:21351  warning  't' is defined but never used                                              no-unused-vars
  27:23778  warning  't' is defined but never used                                              no-unused-vars
  27:24619  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:25464  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  27:26192  warning  't' is defined but never used                                              no-unused-vars
  27:28120  warning  'i' is defined but never used                                              no-unused-vars
  27:31052  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  28:1333   warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  28:2778   warning  'c' is assigned a value but never used                                     no-unused-vars
  28:5432   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  28:5849   warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  28:6921   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  28:29036  warning  't' is defined but never used                                              no-unused-vars
  28:30455  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  28:31462  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  29:1348   warning  't' is assigned a value but never used                                     no-unused-vars
  29:1484   warning  'e' is defined but never used                                              no-unused-vars
  35:11     warning  'a' is defined but never used                                              no-unused-vars
  35:7745   warning  't' is defined but never used                                              no-unused-vars
  35:7883   warning  't' is defined but never used                                              no-unused-vars
  35:10343  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  35:10381  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  35:10435  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  35:10671  warning  'e' is defined but never used                                              no-unused-vars
  35:10673  warning  't' is defined but never used                                              no-unused-vars
  35:10675  warning  'r' is defined but never used                                              no-unused-vars
  35:10677  warning  'n' is defined but never used                                              no-unused-vars
  42:11     warning  'a' is defined but never used                                              no-unused-vars
  42:1411   warning  Expected a 'break' statement before 'default'                              no-fallthrough
  42:5306   warning  'e' is defined but never used                                              no-unused-vars
  42:5308   warning  't' is defined but never used                                              no-unused-vars
  42:5310   warning  'r' is defined but never used                                              no-unused-vars
  42:5312   warning  'n' is defined but never used                                              no-unused-vars
  42:5900   warning  'e' is defined but never used                                              no-unused-vars
  42:5902   warning  't' is defined but never used                                              no-unused-vars
  42:5996   warning  'e' is defined but never used                                              no-unused-vars
  42:5998   warning  't' is defined but never used                                              no-unused-vars
  42:6000   warning  'r' is defined but never used                                              no-unused-vars
  42:6091   warning  'e' is defined but never used                                              no-unused-vars
  42:6179   warning  'e' is defined but never used                                              no-unused-vars
  42:6181   warning  't' is defined but never used                                              no-unused-vars
  42:6183   warning  'r' is defined but never used                                              no-unused-vars
  42:6274   warning  'e' is defined but never used                                              no-unused-vars
  42:6276   warning  't' is defined but never used                                              no-unused-vars
  42:6547   warning  'e' is defined but never used                                              no-unused-vars
  42:6549   warning  't' is defined but never used                                              no-unused-vars
  42:6641   warning  'e' is defined but never used                                              no-unused-vars
  42:6926   warning  'e' is defined but never used                                              no-unused-vars
  42:9881   warning  't' is defined but never used                                              no-unused-vars
  42:10394  warning  't' is defined but never used                                              no-unused-vars
  42:29363  warning  't' is defined but never used                                              no-unused-vars
  43:5025   warning  'i' is defined but never used                                              no-unused-vars
  43:7657   warning  'e' is defined but never used                                              no-unused-vars
  43:7659   warning  't' is defined but never used                                              no-unused-vars
  43:14942  warning  'e' is defined but never used                                              no-unused-vars
  43:17519  warning  'e' is defined but never used                                              no-unused-vars
  43:17521  warning  't' is defined but never used                                              no-unused-vars
  43:17523  warning  'r' is defined but never used                                              no-unused-vars
  43:17525  warning  'n' is defined but never used                                              no-unused-vars
  43:20828  warning  'e' is defined but never used                                              no-unused-vars
  43:21224  warning  'e' is defined but never used                                              no-unused-vars
  43:21226  warning  't' is defined but never used                                              no-unused-vars
  43:21228  warning  'r' is defined but never used                                              no-unused-vars
  43:21230  warning  'n' is defined but never used                                              no-unused-vars
  43:21848  warning  'e' is defined but never used                                              no-unused-vars
  43:23654  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  43:23745  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  43:23776  warning  't' is already defined                                                     no-redeclare
  43:23822  warning  'r' is already defined                                                     no-redeclare
  43:26479  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  43:28203  warning  'r' is already defined                                                     no-redeclare
  43:28640  warning  'r' is already defined                                                     no-redeclare
  43:29072  warning  'r' is already defined                                                     no-redeclare
  43:30806  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  43:30981  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  43:31474  warning  'i' is already defined                                                     no-redeclare
  44:1      warning  'r' is assigned a value but never used                                     no-unused-vars
  44:1187   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:6680   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:6735   warning  'L' is already defined                                                     no-redeclare
  44:6754   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:8066   warning  'L' is already defined                                                     no-redeclare
  44:22647  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:23149  warning  'L' is already defined                                                     no-redeclare
  44:23219  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:23242  warning  'W' is already defined                                                     no-redeclare
  44:23265  warning  'L' is already defined                                                     no-redeclare
  44:23274  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:23495  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:23625  warning  'r' is already defined                                                     no-redeclare
  44:23634  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:23726  warning  'r' is defined but never used                                              no-unused-vars
  44:23883  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:24320  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:24794  warning  'u' is already defined                                                     no-redeclare
  44:24806  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:25078  warning  'd' is already defined                                                     no-redeclare
  44:25262  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:25321  warning  'g' is already defined                                                     no-redeclare
  44:25339  warning  'u' is already defined                                                     no-redeclare
  44:25553  warning  'u' is already defined                                                     no-redeclare
  44:25606  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  44:26086  warning  'pi' is not defined                                                        no-undef
  44:30755  warning  Empty block statement                                                      no-empty
  45:12252  warning  't' is defined but never used                                              no-unused-vars
  45:12315  warning  'r' is defined but never used                                              no-unused-vars
  45:14847  warning  Unexpected control character(s) in regular expression: \x1b                no-control-regex
  45:16127  warning  'r' is already defined                                                     no-redeclare
  45:17913  warning  't' is defined but never used                                              no-unused-vars
  45:18649  warning  'e' is defined but never used                                              no-unused-vars
  45:18750  warning  'e' is defined but never used                                              no-unused-vars
  45:18845  warning  't' is defined but never used                                              no-unused-vars
